Review-Text,Review-Date,Star-Rating,Web-Site
"After I took the test drive of the vehicle I was fully satisfied with Kia Seltos is a complete package. It ensures a smooth drive, comfort is awesome and spacious and also the engine is powerful.its not but mini SUV car color, and design is great and also the interior are the best in the segment. Read More","Dec 28, 2019",5,cardekho.com
"Best in this segment and for the family, it can go anywhere from cities to mountains the car comes with the best comfort and features.","Dec 28, 2019",5,cardekho.com
"The infotainment system of the car is amazing, it has muscular looks with great fuel economy.","Dec 27, 2019",5,cardekho.com
"I have driven my friend Kia Seltos the experience was very good, I first noticed the power was really good I was thinking that this is a newly launched car in the market with a new company. I don't have any high expectations but this car gets above my expectations somehow the cooling of this car is very good the car is totally cooled just in 50 sec...Read More","Dec 27, 2019",5,cardekho.com
  Nice car everything is good in this car.KIA is awesome and hoping that the next car from KIA is going to be awesome ,"Dec 27, 2019",5,cardekho.com
Best segment car overall design performance everything! The car design no match to other cars in the other case this car fits on turbo engine,"Dec 27, 2019",5,cardekho.com
  The is car and drive is smooth and the interior is good looking compared to all other cars this is my opinion ,"Dec 27, 2019",4,cardekho.com
Amazing performance and great driving experience so far. Kia's debut car is performing well.,"Dec 27, 2019",4,cardekho.com
"Seltos is near perfect vehicle by many angles. Its design is fantastic, looks are fantastic, features are fantastic, refinement is excellent, NVH levels are superb, ride quality is superb and easily comparable to my Innova Crysta, diesel manual mileage is excellent, seat comfort is superb.  Read More","Dec 27, 2019",5,cardekho.com
The car is fully loaded with features and bose sound speaker and the driver seat is electrically adjustable. Engine performance is also perfect  ,"Dec 27, 2019",5,cardekho.com
Great design and the best comfort it has and is luxurious.,"Dec 27, 2019",5,cardekho.com
One of the best of 2019 car. I really love it and the interior is really awesome. The design of the car is really futuristic and gives an overall cool look.,"Dec 26, 2019",5,cardekho.com
It's a very nice car. I purchased the last two month ago. I got a very good comfortable riding and I am happy with this car.,"Dec 26, 2019",3,cardekho.com
Good car but it doesn't have much pickup but this car has best in class features so not bad.,"Dec 26, 2019",3,cardekho.com
Just Awesome car in this price range. Comfortable with good seats ... Awesome features.. Interior is very beautiful. Quality of alloys is also superb. The overall look is very good. Read More,"Dec 26, 2019",5,cardekho.com
"Its good car in every aspect. If we compare with Creta than only the height factor is concerned. Other things the company can improve its 10-inch display. Hybrid technology also keeps in as it plays a good role. Lastly, backside shape can be improved. Read More","Dec 26, 2019",4,cardekho.com
"It's a good product from the stable of Kia. Average may be an issue for some people as in bumper to bumper traffic its average is around 11-12 km and on the highway, it may go beyond 19 if driven on a constant speed of 80 without much use of the clutch. overall good car. Read More","Dec 26, 2019",4,cardekho.com
It is a too smooth and comfortable car. I just love the interior and exterior of this car and its design its interior look everything is perfect.,"Dec 26, 2019",5,cardekho.com
It's an affordable car and I like it very much. Nice SUV in this segment at this price range. I think its a perfect car.,"Dec 26, 2019",5,cardekho.com
Nice website to search about cars And many more action I really appreciate car dekho Nice job Sonu Kareem Thank you Car lover,"Dec 27, 2019",4,cardekho.com
" Best SUV of the year, the Kia Seltos is a subcompact crossover SUV built by Kia Motors. Based on the Kia SP Signature concept car, its name is derived from ""Celtos"", the son of Hercules in Greek mythology. Read More","Dec 26, 2019",5,cardekho.com
I am the proud owner of Kia. Amazing mileage and performance. The perfect SUV Car. I have really liked to build quality of the car. Go and get it.,"Dec 26, 2019",5,cardekho.com
Amazing features and excellent performance. It churns an ultimate mileage and makes this car the best car ever.,"Dec 26, 2019",5,cardekho.com
This car has been the best SUV ever I have selected It has fully come up with my expectations Bold modular design and looks are an awesome excellent response from steering Smooth ride quality Good average performance Excellent space Excellent cooling Smart air purification works perfectly Mood lights look awesome Read More,"Dec 25, 2019",5,cardekho.com
I am very much interested to buy this car. perfect SUV for small families like me. KIA just made a brilliant SUV.,"Dec 25, 2019",4,cardekho.com
"The car has an amazing performance, this car makes me happy I love this car.","Dec 25, 2019",5,cardekho.com
"I found this car amazing in its segment having an amazing interior, eye-catching color, smooth steering, and good boot space.    ","Dec 25, 2019",5,cardekho.com
This is the best car when it comes to safety features. The drive quality of the car is amazing.,"Dec 25, 2019",5,cardekho.com
"Kia Seltos is the best car with the best price, best in looks the price perfect matches with the product.","Dec 25, 2019",5,cardekho.com
The car has gorgeous design along with great performance. The interior is premium riched and it is excellent for long drives.,"Dec 25, 2019",5,cardekho.com
"Kia Seltos is the car of the year. Its design is fantastic, features are fantastic, refinement is excellent, NVH level is Superb, ride quality is superb and diesel manual mileage is excellent, seat comfort is superb, the back seat of this vehicle occupies 3 people comfortably. The drive is really convenient in heavy traffic with automatic gear and ...Read More","Dec 25, 2019",5,cardekho.com
"It is the best car under its budget, the headlamp was based on the advance concept it is full of function.","Dec 25, 2019",5,cardekho.com
Great pick up but comfort is not up to the mark and looks are also great. Better space than Creta.,"Dec 25, 2019",3,cardekho.com
"The best one when compared with others in the same segment. Also, known as a family car.","Dec 24, 2019",5,cardekho.com
"An Indian car with great safety features. Also, comfortable and the build quality is amazing.","Dec 24, 2019",4,cardekho.com
"Awesome car, great features as compared to Jeep Compass and MG Hector. Absolutely, a lovely car. Disadvantages:- 1- Suspension is not soo good, it is ok but you need to work on grip and control of the car. Advantages:- 1- Delivers ultimate mileage and has great performance. Read More","Dec 24, 2019",5,cardekho.com
"Its design is fantastic, looks are amazing, features are impressive, refinement is excellent, NVH levels are superb, ride quality is ultimate and can be easily compared to my Innova Crysta. The diesel manual mileage is excellent, seat comfort is superb. Back seat of this vehicle occupies 3 people comfortably. The boot space has enough for luggage o...Read More","Dec 24, 2019",4,cardekho.com
"Kia Seltos is not only the most feature-packed car in the segment, but it's also fun-to-drive and looks very good too.","Dec 24, 2019",5,cardekho.com
Amazing car as the interiors and the exteriors are amazing.,"Dec 23, 2019",5,cardekho.com
The real off-road car as it can be driven in the rural areas as well. It's cost-efficient and the performance is amazing.,"Dec 23, 2019",4,cardekho.com
